%ACTION_TABLE%
State,INTEGER,FUNCTION,COMPARISON_OPERATOR,WHILE,SPACE_EMPTY,ELSE,CHAR,FOR,FLOAT,EQUALS,SEMICOLON,BOOL_VALUE,BREAK,IF,TYPE,VARNAME,COLON,BOOLEAN,NOT_OPERATOR,LOGICAL_OPERATOR,$,or,CONTINUE,*,+,COMMA,(,),/,RETURN,and,-,VOID,SINGLE_OPERATOR,},{,STRING,TERM,T_TERM,FOR_BODY,STMT,FUN_ARG,CALL_EXPR,FUNCTION_PARAM_TERM,F_TERM,IFELSE_BODY,ELSE_STMT_TERM,D_TERM,STATEMENT_LIST,S,VALUE,ASSIGN_STMT,FOR_DECL,LOGICAL_EXPR,FUNCTION_ARGS,WHILE_DECL,FOR_STMT,EXPR,FUNCTION_PARAM,WHILE_STMT,SINGLE_EXP,FACTOR,FOR_INIT_STMT,JUMP_STMT,IF_STMT,STMT_TERM,DECLARATION_STMT,FUNCTION_STMT,PROGRAM,FUNCTION_DECL,BODY,IF_STMT_TERM,WHILE_BODY,SEMI_COL,RETURN_TYPE
s0,s1,s3,_,s6,_,s11,s12,s14,s15,_,s17,s19,s22,s25,s26,s28,_,s31,_,_,_,_,s34,_,_,_,s35,_,_,s40,_,_,s45,s46,_,s48,s50,s2,s4,_,s5,s7,s9,s8,s10,_,_,s13,s16,_,s18,s20,s21,s23,s24,s27,s29,s30,s32,s33,s36,s37,_,s39,s38,s41,s42,s43,s44,_,_,s47,_,_,s49
s1,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
s3,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,s53,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
s6,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,s55,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
s11,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,s58,_,_,_,_,_,_,_,_,_,s57,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
s12,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
s14,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,s60,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
s15,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
s17,r23,r23,r23,r23,r23,r23,r23,r23,r23,r23,s17;r23,r23,r23,r23,r23,r23,r23,r23,r23,r23,r23,r23,r23,r23,r23,r23,r23,r23,r23,r23,r23,r23,r23,r23,r23,r23,r23,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,s69,_
s19,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
s22,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
s25,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,s75,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
s26,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,s77;r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,_,_,_,_,_,_,_,_,_,_,s76,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
s28,r37;r73,r37;r73,r37;r73,r37;r73,r37;r73,r37;r73,r37;r73,r37;r73,r37;r73,s80;r37;r73,r37;r73,r37;r73,r37;r73,r37;r73,r37;r73,r37;r73,r37;r73,r37;r73,r37;r73,r37;r73,r37;r73,r37;r73,r37;r73,r37;r73,r37;r73,r37;r73,s82;r37;r73,r37;r73,r37;r73,r37;r73,r37;r73,r37;r73,r37;r73,s81;r37;r73,r37;r73,r37;r73,r37;r73,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
s31,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
s34,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
s35,s1,_,_,_,_,_,_,_,s15,_,_,s19,_,_,_,s91,_,_,_,_,_,_,_,_,_,_,s35,_,_,_,_,_,_,s46,_,_,_,s2,s4,_,_,_,s88,_,s10,_,_,_,_,_,_,_,_,s90,_,_,_,s87,_,_,s89,s37,_,_,_,_,_,_,_,_,_,_,_,_,_
s40,s1;r46,r46,r46,r46,r46,r46,s12;r46,r46,s15;r46,r46,r46,s19;r46,r46,r46,r46,s91;r46,r46,s31;r46,r46,r46,r46,r46,r46,r46,r46,r46,s35;r46,r46,r46,r46,r46,r46,r46,s46;r46,r46,r46,s50;r46,s2,s4,_,_,_,s88,_,s10,_,_,_,_,_,s94,_,_,s95,_,_,_,s93,_,_,s89,s37,_,_,_,_,_,_,_,_,_,_,_,_,_
s45,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
s46,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,s100,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
s48,_,_,_,s6,_,_,_,s14,_,_,_,_,s22,s25,s67,s68,_,_,_,_,_,_,s34,_,_,_,_,_,_,s40,_,_,_,s46,s104,s105,_,_,_,_,s5,_,s61,_,_,_,_,_,s103,_,_,s65,s21,_,_,s27,s29,_,_,s33,s62,_,_,s39,s38,s41,s64,_,_,_,_,s47,_,_,_
s50,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
s2,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,s51;r64,r64,r64,r64,r64,s52;r64,r64,r64,r64,r64,r64,r64,r64,r64,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
s4,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,s54;r75,r75,r75,r75,r75,r75,r75,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
s5,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
s7,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
s9,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,s17;r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,r67;r79,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,s56,_
s8,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
s10,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
s13,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,s59,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
s16,_,_,_,s6,_,_,_,s14,_,_,_,_,s22,s25,s67,s68,_,_,_,_,_,_,s34,_,_,_,_,_,_,s40,_,_,_,s46,_,s66,_,_,_,_,s5,_,s61,_,_,_,_,_,_,_,_,s65,s21,_,_,s27,s29,_,_,s33,s62,_,_,s39,s38,s63,s64,_,_,_,_,s47,_,_,_
s18,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
s20,r59,r59,r59,r59,r59,r59,r59,r59,r59,r59,s17;r59,r59,r59,r59,r59,r59,r59,r59,r59,r59,r59,r59,r59,r59,r59,r59,r59,r59,r59,r59,r59,r59,r59,r59,r59,r59,r59,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,s70,_
